CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM210300001603,ARVILLE ST,,ARVILLE ST,PENNWOOD AVE,,PENNWOOD AVE,2021-03-01T00:00:00.000,948,LAS VEGAS,CLARK,CLARK,662005.1902,4000672.6204
NLPD2306140012098,BENNETT ST,,BENNETT ST,GILDAY AVE,,GILDAY AVE,2023-06-14T00:00:00.000,1608,NORTH LAS VEGAS,CLARK,CLARK,666778.205199999,4007489.88189999
NLPD2101030000128,W CHEYENNE AVE,,W CHEYENNE AVE,N DECATUR BLVD,,N DECATUR BLVD,2021-01-03T00:00:00.000,941,NORTH LAS VEGAS,CLARK,CLARK,661491.987999999,4009550.0293
SPPD19-6925,E PRATER WY,,E PRATER WY,PULLMAN DR,,PULLMAN DR,2019-08-04T00:00:00.000,930,SPARKS,,,266410.5307,4380444.42809999
NHP210200759,OTHER,IR80/ E. MCCARRRAN BLVD OFF,OTHER,OTHER,MCCARRAN BLVD,OTHER,2021-02-12T00:00:00.000,1237,SPARKS,WASHOE,WASHOE,253948.9066,4378769.12199999
LVM190700012836,S JONES BLVD,,S JONES BLVD,W RENO AVE,,W RENO AVE,2019-07-03T00:00:00.000,1238,LAS VEGAS,CLARK,CLARK,659783.356999999,3996201.7814
RPD19-16564,E 2ND ST,,E 2ND ST,LAKE ST,,LAKE ST,2019-08-19T00:00:00.000,2025,RENO,WASHOE,WASHOE,258418.3798,4379080.64849999
NLPD2211140021706,E EL CAMPO GRANDE AVE,,E EL CAMPO GRANDE AVE,DONNA ST,,DONNA ST,2022-11-14T00:00:00.000,705,NORTH LAS VEGAS,CLARK,CLARK,667950.853,4014978.54979999
LVM221200066481,E SAHARA AVE,,E SAHARA AVE,JOE W BROWN DR,,JOE W BROWN DR,2022-12-17T00:00:00.000,1133,LAS VEGAS,CLARK,CLARK,666285.4845,4001470.7397
LVM230300041567,E FLAMINGO RD,,SR592,OTHER,S EUCLID ST,EUCLID ST,2023-03-10T00:00:00.000,900,LAS VEGAS,CLARK,CLARK,669455.657399999,3998318.54859999
LVM210600119896,W CACTUS AVE,,W CACTUS AVE,S VALLEY VIEW BLVD,,S VALLEY VIEW BLVD,2021-06-26T00:00:00.000,2014,LAS VEGAS,CLARK,CLARK,663285.148099999,3985343.8341
LVM191000035795,POLLOCK DR,,POLLOCK DR,E SILVERADO RANCH BLVD,,E SILVERADO RANCH BLVD,2019-10-08T00:00:00.000,1335,LAS VEGAS,CLARK,CLARK,667102.623399999,3987005.35089999
RPD22-9276,E MOANA LN,,E MOANA LN,AIRWAY DR,,AIRWAY DR,2022-05-20T00:00:00.000,822,RENO,WASHOE,WASHOE,260775.580699999,4375179.03089999
LVM230500015712,W ARBY AVE,,W ARBY AVE,S FORT APACHE RD,,S FORT APACHE RD,2023-05-04T00:00:00.000,802,LAS VEGAS,CLARK,CLARK,653336.056099999,3991857.4952
LVM220800121306,LAKE SOUTH DR,,LAKE SOUTH DR,S FORT APACHE RD,,S FORT APACHE RD,2022-08-30T00:00:00.000,730,LAS VEGAS,CLARK,CLARK,653217.758299999,4000095.75559999
LVM201000104264,S COMMERCE ST,,S COMMERCE ST,W CALIFORNIA ST,,W CALIFORNIA ST,2020-10-24T00:00:00.000,1535,LAS VEGAS,CLARK,CLARK,665963.7648,4002950.17249999
LVM190300099583,PECOS MCLEOD INT,,PECOS MCLEOD INT,E VIKING RD,,E VIKING RD,2019-03-21T00:00:00.000,904,LAS VEGAS,CLARK,CLARK,670859.439799999,3998794.88509999
HP20-08145,OTHER,HORIZON DRIVE,OTHER,COLLEGE DR,,COLLEGE DR,2020-05-07T00:00:00.000,2121,,CLARK,CLARK,683308.472,3987264.91699999
LVM191000112151,E CRAIG RD,,E CRAIG RD,N LAS VEGAS BLVD,,N LAS VEGAS BLVD,2019-10-24T00:00:00.000,639,LAS VEGAS,CLARK,CLARK,674804.8276,4012387.4821
LVM230700062546,W SAHARA AVE,,W SAHARA AVE,LAKE SAHARA DR,,LAKE SAHARA DR,2023-07-14T00:00:00.000,1710,LAS VEGAS,CLARK,CLARK,654505.680399999,4001297.40909999
SPPD23-7743,ROCK BLVD,,ROCK BLVD,PRATER WAY,,PRATER WAY,2023-10-10T00:00:00.000,636,SPARKS,WASHOE,WASHOE,262342.6183,4380118.91609999
NLPD2211210022189,LAKE MEAD BLVD,,LAKE MEAD BLVD,BASSLER ST,,BASSLER ST,2022-11-21T00:00:00.000,1502,NORTH LAS VEGAS,CLARK,CLARK,669789.671299999,4007323.7322
LVM191200070488,E BONANZA RD,,E BONANZA RD,N FOGG ST,,N FOGG ST,2019-12-15T00:00:00.000,1910,LAS VEGAS,CLARK,CLARK,676731.5914,4005053.251
LVMLLV191000083655,S NELLIS BLVD,,S NELLIS BLVD,,,,2019-10-18T00:00:00.000,728,LAS VEGAS,CLARK,CLARK,,
HP22-08544,WARM SPRINGS RD,,WARM SPRINGS RD,S STEPHANIE ST,,N STEPHANIE ST,2022-05-03T00:00:00.000,1415,HENDERSON,CLARK,CLARK,675850.943699999,3991946.2101
LVM220700065076,OTHER,BOULDER HWY,BOULDER HWY,OTHER,INDIOS AVE,INDIOS AVE,2022-07-17T00:00:00.000,18,LAS VEGAS,CLARK,CLARK,673055.490299999,3999389.38099999
LVM190500112646,E FLAMINGO RD,,E FLAMINGO RD,S EASTERN AVE,,S EASTERN AVE,2019-05-23T00:00:00.000,1346,LAS VEGAS,CLARK,CLARK,669360.5354,3998311.29099999
