CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
RPD23-6918,NORTH HILLS BLVD,,NORTH HILLS BLVD,E GOLDEN VALLEY RD,,E GOLDEN VALLEY RD,2023-04-19T00:00:00.000,1415,RENO,WASHOE,WASHOE,256127.4965,4387664.583
LVM190700007066,S BRUCE ST,,S BRUCE ST,E CHARLESTON BLVD,,E CHARLESTON BLVD,2019-07-02T00:00:00.000,1002,LAS VEGAS,CLARK,CLARK,668657.225499999,4003199.6732
CCSO21-7927,N STEWART ST,,N STEWART ST,E ROBINSON ST,,E ROBINSON ST,2021-12-03T00:00:00.000,1835,CARSON CITY,CARSON CITY,CARSON CITY,261167.4269,4338966.4383
LVM211100036560,W CRAIG RD,,W CRAIG RD,OTHER,RAINBOW,OTHER,2021-11-09T00:00:00.000,1701,LAS VEGAS,CLARK,CLARK,658062.329499999,4012036.0504
NHP220101574,SR372,,SR372,PAHRUMP VALLEY BLVD,,PAHRUMP VALLEY BLVD,2022-01-24T00:00:00.000,1546,PAHRUMP,NYE,NYE,590697.803999999,4007325.48139999
LVM201000002136,S EASTERN AVE,,S EASTERN AVE,E VIKING RD,,E VIKING RD,2020-10-05T00:00:00.000,1727,,CLARK,CLARK,669282.0953,3998723.22729999
HP22-19242,SR582S,,BOULDER HWY SB,S MAJOR AVE,,S MAJOR AVE,2022-10-02T00:00:00.000,1908,HENDERSON,CLARK,CLARK,682822.720999999,3989118.1248
SPPD21-2410,4TH ST,,4TH ST,YORK WY,,YORK WY,2021-03-25T00:00:00.000,2031,SPARKS,WASHOE,WASHOE,263858.485299999,4381729.69649999
NLPD2211030021073,LAS VEGAS BLVD,,LAS VEGAS BLVD,WILLIAMS AVE,,WILLIAMS AVE,2022-11-03T00:00:00.000,1540,NORTH LAS VEGAS,CLARK,CLARK,,
CCSO19-5982,E WILLIAM ST,,E WILLIAM ST,N SALIMAN RD,,N SALIMAN RD,2019-09-04T00:00:00.000,1730,CARSON CITY,CARSON CITY,CARSON CITY,260985.951299999,4339334.84129999
LVM210200097252,N MOJAVE RD,,N MOJAVE RD,STEWART AVE,,STEWART AVE,2021-02-22T00:00:00.000,1012,LAS VEGAS,CLARK,CLARK,670400.262099999,4003864.0598
LVM210300018339,BLUE DIAMOND RD,,BLUE DIAMOND RD,ARVILLE ST,,ARVILLE ST,2021-03-04T00:00:00.000,1846,LAS VEGAS,CLARK,CLARK,662243.0482,3989495.17439999
LVM201000005933,S RAINBOW BLVD,,S RAINBOW BLVD,W WIGWAM AVE,,W WIGWAM AVE,2020-10-02T00:00:00.000,706,,CLARK,CLARK,658256.1621,3989133.0007
LVM231100010044,E WARM SPRINGS RD,,WARM SPRINGS RD,OTHER,S LAS VEGAS BLVD,S LAS VEGAS BLVD,2023-11-03T00:00:00.000,1846,LAS VEGAS,CLARK,CLARK,664678.415599999,3991807.74489999
BCPD19BC0757,US93 S,,US93 S,NEVADA WAY,,NEVADA WAY,2019-06-20T00:00:00.000,855,BOULDER CITY,,,695482.9148,3984943.5817
LVM210100131146,W SAHARA AVE,,W SAHARA AVE,S FORT APACHE RD,,S FORT APACHE RD,2021-01-29T00:00:00.000,1730,LAS VEGAS,CLARK,CLARK,653151.9725,4001307.87329999
LVM201100095710,S DURANGO DR,,S DURANGO DR,W FLAMINGO RD,,W FLAMINGO RD,2020-11-22T00:00:00.000,2125,,CLARK,CLARK,654885.908599999,3998337.9406
LVM221200074660,VIA MIRABEL ST,,VIA MIRABEL ST,LAKE MEAD BLVD,,SR147E,2022-12-19T00:00:00.000,1433,LAS VEGAS,CLARK,CLARK,671333.9791,4007338.9056
LVM211000036981,PARADISE RD,,PARADISE RD,E SAHARA AVE,,E SAHARA AVE,2021-10-09T00:00:00.000,1505,LAS VEGAS,CLARK,CLARK,666014.0279,4001461.56039999
RPD19-24062,S VIRGINIA ST,,S VIRGINIA ST,E PECKHAM LN,,E PECKHAM LN,2019-12-03T00:00:00.000,1717,RENO,WASHOE,WASHOE,259567.8151,4374954.07239999
LVM211100054964,FRO AVE,,FRO AVE,MARION DR,,MARION DR,2021-11-13T00:00:00.000,2139,LAS VEGAS,CLARK,CLARK,673479.7055,4003916.18569999
LYSO20LY00137,US50,,US50,APACHE DR,,APACHE DR,2020-01-11T00:00:00.000,1840,,LYON,LYON,295384.315,4359553.2027
